Mode Used: BANG_BANG_MENU
Parameters Used: {"baseSpeed":250,"turnSpeedMultiplier":0.25,"bangBangThreshold":0.65,"sensorPeriod":0.0001,"controlPeriod":0.0001,"motorRegulatePeriod":0.1,"motorKp":0.01,"motorKi":0.01,"debugFlag":1}


--- MOTOR_LEFT Debug Data ---
Timestamp, distance, speed, target_speed, error, adjustment, persistent_error, newSpeed, originalSpeed
"3380",17.95121,0,0,0,-0.00002,-0.04256,-0.07084,-0.02823
"3430",17.95121,0,0,0,-0.00002,-0.04265,-0.07093,-0.02823
"3480",17.95121,0,0,0,-0.00002,-0.04274,-0.07102,-0.02823
"3530",17.95121,0,0,0,-0.00002,-0.04283,-0.07111,-0.02823
"3580",17.95121,0,0,0,-0.00002,-0.04292,-0.07121,-0.02823
"3630",17.95121,0,0,0,-0.00002,-0.04302,-0.0713,-0.02823
"3680",17.95121,0,0,0,-0.00002,-0.04311,-0.07139,-0.02823
"3730",17.95121,0,0,0,-0.00002,-0.0432,-0.07148,-0.02823
"3780",17.95121,0,0,0,-0.00002,-0.04329,-0.07157,-0.02823
"3830",17.95121,0,0,0,-0.00002,-0.04338,-0.07167,-0.02823
"3880",17.95121,0,0,0,-0.00002,-0.04348,-0.07176,-0.02823
"3930",17.95121,0,0,0,-0.00002,-0.04357,-0.07185,-0.02823
"3980",17.95121,0,0,0,-0.00002,-0.04366,-0.07195,-0.02823
"4030",17.95121,0,0,0,-0.00002,-0.04376,-0.07204,-0.02823
"4080",17.95121,0,0,0,-0.00002,-0.04385,-0.07213,-0.02823
"4130",17.95121,0,0,0,-0.00002,-0.04394,-0.07223,-0.02823
"4180",17.95121,0,0,0,-0.00002,-0.04404,-0.07232,-0.02823
"4230",17.95121,0,0,0,-0.00002,-0.04413,-0.07242,-0.02823
"4280",17.95121,0,0,0,-0.00002,-0.04423,-0.07251,-0.02823
"4330",17.95121,0,0,0,-0.00002,-0.04432,-0.0726,-0.02823
"4380",17.95121,0,0,0,-0.00002,-0.04442,-0.0727,-0.02823
"4430",17.95121,0,0,0,-0.00002,-0.04451,-0.07279,-0.02823
"4480",17.95121,0,0,0,-0.00002,-0.04461,-0.07289,-0.02823
"4530",17.95121,0,0,0,-0.00002,-0.0447,-0.07298,-0.02823
"4580",17.95121,0,0,0,-0.00002,-0.0448,-0.07308,-0.02823
"4630",17.95121,0,0,0,-0.00002,-0.04489,-0.07318,-0.02823
"4680",17.95121,0,0,0,-0.00002,-0.04499,-0.07327,-0.02823
"4730",17.95121,0,0,0,-0.00002,-0.04508,-0.07337,-0.02823
"4780",17.95121,0,0,0,-0.00002,-0.04518,-0.07347,-0.02823
"4830",17.95121,0,0,0,-0.00002,-0.04528,-0.07356,-0.02823
"4880",17.95121,0,0,0,-0.00002,-0.04537,-0.07366,-0.02823
"4930",17.95121,0,0,0,-0.00002,-0.04547,-0.07376,-0.02823
"4980",17.95121,0,0,0,-0.00002,-0.04557,-0.07385,-0.02823
"5030",17.95121,0,0,0,-0.00002,-0.04566,-0.07395,-0.02823
"5080",17.95121,0,0,0,-0.00002,-0.04576,-0.07405,-0.02823
"5130",17.95121,0,0,0,-0.00002,-0.04586,-0.07415,-0.02823
"5180",17.95121,0,0,0,-0.00002,-0.04596,-0.07424,-0.02823
"5230",17.95121,0,0,0,-0.00002,-0.04606,-0.07434,-0.02823
"5280",17.95121,0,0,0,-0.00002,-0.04615,-0.07444,-0.02823
"5330",17.95121,0,0,0,-0.00002,-0.04625,-0.07454,-0.02823
"5380",17.95121,0,0,0,-0.00002,-0.04635,-0.07464,-0.02823
"5430",17.95121,0,0,0,-0.00002,-0.04645,-0.07474,-0.02823
"5480",17.95121,0,0,0,-0.00002,-0.04655,-0.07484,-0.02823
"5530",17.95121,0,0,0,-0.00002,-0.04665,-0.07494,-0.02823
"5580",17.95121,0,0,0,-0.00002,-0.04675,-0.07504,-0.02823
"5630",17.95121,0,0,0,-0.00002,-0.04685,-0.07514,-0.02823
"5680",17.95121,0,0,0,-0.00002,-0.04695,-0.07524,-0.02823
"5730",17.95121,0,0,0,-0.00002,-0.04705,-0.07534,-0.02823
"5780",17.95121,0,0,0,-0.00002,-0.04715,-0.07544,-0.02823
"5830",17.95121,0,0,0,-0.00002,-0.04725,-0.07554,-0.02823
"5880",17.95121,0,0,0,-0.00002,-0.04735,-0.07564,-0.02823
"5930",17.95121,0,0,0,-0.00002,-0.04745,-0.07574,-0.02823
"5980",17.95121,0,0,0,-0.00002,-0.04755,-0.07584,-0.02823
"6030",17.95121,0,0,0,-0.00002,-0.04766,-0.07594,-0.02823
"6080",17.95121,0,150,150,0.02131,-0.13124,0.41047,0.38916
"6130",17.97418,0,150,150,0.02139,0.06396,0.51719,0.38916
"6180",18.0151,52.73438,150,97.26562,0.01392,0.15583,0.58673,0.38916
"6230",18.06344,98.4375,150,51.5625,0.00744,0.21241,0.62386,0.38916
"6280",18.12398,117.1875,150,32.8125,0.00478,0.24425,0.64773,0.38916
"6330",18.17878,147.65625,150,2.34375,0.00044,0.25946,0.64995,0.38916
"6380",18.24004,134.76562,150,15.23438,0.00228,0.26535,0.66136,0.38916
"6430",18.30011,148.82812,150,1.17188,0.00028,0.27276,0.66277,0.38916
"6480",18.36759,147.65625,150,2.34375,0.00045,0.27451,0.66502,0.38916
"6530",18.42718,165.23438,150,-15.23438,-0.00205,0.27176,0.65476,0.38916
"6580",18.49251,145.89844,150,4.10156,0.0007,0.267,0.65825,0.38916
"6630",18.55449,159.375,150,-9.375,-0.00122,0.26665,0.65215,0.38916
"6680",18.62053,151.75781,150,-1.75781,-0.00014,0.26271,0.65146,0.38916
"6730",18.67629,163.47656,150,-13.47656,-0.00181,0.25868,0.64242,0.38916
"6780",18.73851,135.9375,150,14.0625,0.00211,0.25748,0.65298,0.38916
"6830",18.79594,151.17188,150,-1.17188,-0.00005,0.26371,0.65271,0.38916
"6880",18.86103,141.21094,150,8.78906,0.00137,0.26628,0.65953,0.38916
"6930",18.91966,159.375,150,-9.375,-0.00122,0.26793,0.65343,0.38916
"6980",18.98379,144.14062,150,5.85938,0.00095,0.26617,0.65817,0.38916
"7030",19.04529,155.85938,150,-5.85938,-0.00072,0.26757,0.65457,0.38916
"7080",19.11325,150.58594,150,-0.58594,0.00003,0.26547,0.65472,0.38916
"7130",19.17117,166.99219,150,-16.99219,-0.00231,0.26095,0.64318,0.38916
"7180",19.23362,142.38281,150,7.61719,0.00119,0.25641,0.64915,0.38916
"7230",19.29201,152.92969,150,-2.92969,-0.00031,0.25938,0.64762,0.38916
"7280",19.35615,142.38281,150,7.61719,0.0012,0.26085,0.6536,0.38916
"7330",19.41214,157.61719,150,-7.61719,-0.00097,0.2625,0.64874,0.38916
"7380",19.47412,137.10938,150,12.89062,0.00195,0.26347,0.65848,0.38916
"7430",19.53443,150.58594,150,-0.58594,0.00003,0.26938,0.65863,0.38916
"7480",19.60215,148.82812,150,1.17188,0.00028,0.27004,0.66004,0.38916
"7530",19.66102,165.23438,150,-15.23438,-0.00206,0.26677,0.64977,0.38916
"7580",19.72395,144.14062,150,5.85938,0.00095,0.2625,0.6545,0.38916
"7630",19.78258,154.6875,150,-4.6875,-0.00055,0.26423,0.65173,0.38916
"7680",19.84695,142.96875,150,7.03125,0.00111,0.2648,0.6573,0.38916
"7730",19.9051,158.20312,150,-8.20312,-0.00105,0.26603,0.65203,0.38916
"7780",19.96852,141.79688,150,8.20312,0.00128,0.26543,0.65844,0.38916
"7830",20.03002,155.27344,150,-5.27344,-0.00064,0.268,0.65525,0.38916
"7880",20.09726,150,150,0,0.00011,0.26632,0.65582,0.38916
"7930",20.15541,165.23438,150,-15.23438,-0.00206,0.26255,0.64554,0.38916
"7980",20.21811,143.55469,150,6.44531,0.00103,0.25844,0.65068,0.38916
"8030",20.2765,152.34375,150,-2.34375,-0.00022,0.26108,0.64957,0.38916
